Area,Centroid_1,Centroid_2,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Perimeter
232,191.9181034,52.93103448,19.63763892,16.29739281,0.557903363,-68.8048644,0.810021767,59.993
38,191.7105263,89.02631579,9.132415755,5.769078751,0.775201192,63.35641306,1.08560628,20.973
140,199.8428571,43.44285714,20.95604325,9.095092848,0.900908961,-49.66851382,0.70504161,49.953
213,206.1643192,10.69014085,26.77115689,10.83655108,0.914412082,0.022658676,0.711009478,61.356
381,204.3412073,23.87926509,28.46184667,18.36765094,0.763893009,0.403681098,0.847564686,75.159
184,204.1847826,60.14673913,24.63792828,10.07194009,0.912624815,41.01245054,0.709849505,57.073
233,202.3562232,75.13733906,25.26767437,12.35349346,0.872337009,53.40520705,0.771095736,61.621
145,209.3655172,37.7862069,17.65685597,12.4326614,0.710074487,68.17418124,0.770272349,48.637
327,214.5168196,77.94189602,30.66699059,15.78961706,0.857266239,73.43925328,0.689875269,77.178
236,219.1779661,94.36440678,22.32889093,15.09399715,0.736915307,50.55939637,0.80023102,60.877
260,220.1423077,39.63461538,29.57931411,12.06558814,0.913023802,65.73432771,0.709735142,67.849
177,225.5310734,58.81920904,22.09282412,10.9162868,0.869399357,7.004809939,0.806245948,52.524
228,231.5087719,47.91666667,22.44284927,17.1534621,0.644840122,-12.75492409,0.586814814,69.875
193,229.2176166,71.22279793,23.08121971,12.7478133,0.833643837,65.69281569,0.632933104,61.902
128,234.671875,26.5078125,21.04202232,8.727905287,0.909919664,53.99498989,0.648915156,49.787
344,240.4156977,74.38662791,34.55998004,13.68590231,0.918248636,78.53691596,0.661871383,80.816
414,245.5555556,34.79468599,29.82867494,18.91398603,0.77326141,82.00608072,0.744171411,83.612
402,252.7711443,87.82835821,30.71747137,17.75463549,0.816038216,82.04508649,0.786923208,80.122
226,258.6106195,46.19911504,23.49140325,15.02002411,0.768887689,20.02318484,0.644919559,66.36
162,257.7283951,56.74691358,25.45223668,8.529005117,0.942183118,-3.947231478,0.692299027,54.227
312,260.474359,69.33333333,26.92631001,16.06895059,0.80240857,-35.04992269,0.778860463,70.95
205,260.6829268,28.30731707,26.86223519,11.15725743,0.909661206,-37.50499245,0.681525138,61.481
236,267.7076271,20.73305085,29.82315796,10.32156122,0.93820052,-30.70306243,0.71707544,64.31
388,283.2603093,14.99742268,27.03604495,20.88050488,0.635232474,-23.20473293,0.732809876,81.569
327,277.6727829,39.11926606,28.78670304,15.26893423,0.847737361,46.67295498,0.817065562,70.917
210,278.7190476,57.5952381,22.78677546,12.82566368,0.82655526,4.035904978,0.796724767,57.552
224,278.03125,81.57589286,19.16628462,16.47936779,0.5106137,-57.76577389,0.821031046,58.553
226,284.1238938,68.52212389,22.88956036,13.41521496,0.810249986,3.601833651,0.874698073,56.981
219,290.2283105,46.26940639,22.30160135,14.29897343,0.76740428,89.52163653,0.735370194,61.175
223,306.0807175,34.0896861,35.67433896,9.060802034,0.967207752,-12.94372332,0.47199307,77.053
227,301.8281938,19.16299559,21.88512391,15.93793299,0.685307119,-2.487107395,0.733610088,62.357
440,307.375,69.02272727,31.40486572,19.66254152,0.77974392,-25.65252529,0.746412868,86.068
293,306.7508532,48.36860068,26.4773587,15.56376123,0.808996132,-8.847450899,0.797699251,67.939
157,317.0063694,15.5477707,33.44089067,6.16379647,0.982866447,-23.83587296,0.438675684,67.063
313,322.0607029,29.24600639,32.08039837,14.26591032,0.895683338,-17.85783332,0.62660927,79.228
107,319.8411215,43.01869159,25.06244543,7.0618231,0.959482238,-16.09959425,0.46061681,54.029
308,322.9285714,59.84415584,26.35889438,18.32115888,0.718946389,-20.98505777,0.619959726,79.013
190,324.3578947,9.805263158,25.68617022,11.38880298,0.896332416,-15.95084645,0.626105247,61.753
185,321.6108108,80.24864865,23.40643042,11.3850779,0.873731731,34.62439092,0.750431048,55.659
355,332.4309859,87.45633803,32.20134807,15.00795701,0.884749898,68.52759553,0.677875927,81.123
420,339.2095238,51.9047619,32.66348644,19.98050434,0.791083913,-81.54364569,0.557496828,97.299
124,347.2903226,36.94354839,20.16289796,8.651801034,0.90325931,-9.27826685,0.7205591,46.503
260,353.1307692,63.04230769,28.21904231,12.39184254,0.898423281,26.89230281,0.726101116,67.08
158,353.6265823,27.36708861,32.90400881,7.561439938,0.973237166,0.641322986,0.470849929,64.937
154,350.7077922,78.88311688,23.91804254,8.571854353,0.933574095,-20.84239394,0.73512368,51.308
219,350.456621,89.44292237,24.27861623,14.16603707,0.812128986,9.3186879,0.672682158,63.962
189,356.4761905,46.04232804,21.7176576,12.55796308,0.815868522,-10.03264601,0.75052446,56.254
161,360.6459627,74.24223602,21.91378677,12.58235822,0.818732289,-35.41840508,0.592461202,58.437
121,361.0661157,34.57024793,21.30257203,7.878677958,0.929092943,-19.93270626,0.683063299,47.181
170,365.1588235,21.5,25.67367882,10.53936551,0.911854981,-17.77109285,0.567010193,61.381
265,372.3849057,53.31698113,25.10559285,14.77394672,0.808517357,-64.4464918,0.767829936,65.856
166,371.3795181,71.12048193,21.98540677,11.14853489,0.861894314,-85.07867727,0.725004018,53.64
199,379.6331658,45.42713568,35.48246467,7.719727796,0.976045926,-60.02580621,0.495612928,71.033
192,381.703125,73.43229167,25.25760005,10.90810704,0.90193383,62.47241291,0.650842952,60.886
169,383.2248521,30.33727811,23.40463935,10.73621914,0.888579922,-33.94364076,0.655790598,56.907
132,384.280303,84.15909091,24.10632034,7.402634804,0.951682822,48.03421262,0.64981292,50.524
383,394.7049608,88.80678851,31.62738648,16.67094114,0.849800408,44.90397833,0.741581592,80.561
104,388.4423077,21.46153846,15.01043145,9.201157901,0.790095135,15.85207196,0.925794457,37.572
175,390.5771429,43.89142857,19.75220996,12.22848745,0.785316381,-40.54319201,0.843766719,51.052
263,395.3041825,63.09505703,23.02566496,14.95700925,0.76029333,-84.61828547,0.892281146,60.86
236,400.3262712,30.26271186,19.64763079,15.96391849,0.582945693,-87.21896931,0.954457891,55.742
212,404.1037736,15.0990566,20.49849418,13.98779962,0.730995938,-28.05585899,0.830100287,56.651
132,405.8333333,53.93181818,19.91466135,9.124202708,0.888867114,-44.77894497,0.809935914,45.255
161,409.6397516,43.39130435,20.74658646,11.75812952,0.823889767,-74.37234689,0.660318421,55.353
170,408.8470588,67.58235294,22.0791083,10.5925803,0.877402058,46.77806505,0.771918969,52.607
151,413.4569536,77,22.57156028,9.035402965,0.916384007,58.89515383,0.689309631,52.467
269,426.2899628,37.20817844,36.37596628,10.06174131,0.960983961,-23.4393321,0.556498028,77.938
218,425.0779817,27,32.49422741,9.1539866,0.959499255,-25.23013459,0.571580882,69.23
297,424.9292929,80.50841751,24.13074949,17.96731634,0.667531256,48.7742942,0.762067803,69.982
159,428.7924528,16.78616352,27.25472002,7.883485532,0.957252951,0.424019521,0.599956677,57.709
236,423.720339,48.87288136,23.27245227,16.38593524,0.710109284,-12.45895961,0.662033883,66.93
262,430.2709924,61.61832061,22.59236063,15.76006469,0.716503208,16.45902605,0.858743154,61.919
222,442.6441441,25.96846847,19.79892576,17.05888454,0.507576709,-73.60140067,0.695486978,63.334
178,445.0168539,68.83707865,19.74749054,12.25404774,0.7841772,3.607135565,0.86241564,50.928
146,441.0410959,80.26712329,17.5417983,12.65245625,0.692649067,41.52146532,0.754649973,49.307
203,446.0837438,53.33990148,20.46883212,12.83847489,0.778841584,-52.64185402,0.946900281,51.904
161,454.4285714,45.75776398,23.06437209,9.566578835,0.909922942,-35.43870851,0.715007245,53.194
224,456.6696429,81.3125,22.89858484,13.8259055,0.797144449,15.72461899,0.788622729,59.744
160,453.0125,12.96875,17.32761712,13.36795521,0.636250413,-23.75027845,0.819021154,49.547
172,455.6976744,33.23255814,17.4380843,13.85207728,0.607450225,-22.20786008,0.867374315,49.919
135,464.9111111,19.9037037,22.2377698,8.381160066,0.926258628,8.614498158,0.672089457,50.241
292,462.4760274,62.72260274,22.4257397,17.43222148,0.629091884,72.31212547,0.8511981,65.657
139,467.5683453,43.15827338,14.68642829,13.35715595,0.415726353,60.25529494,0.905400382,43.923
